web-scraper-order,court-name,court-address,court-count
1701998113-1,Andy Livingstone Park,89 Expo Boulevard,2
1701998113-2,David Lam Park,1300 Pacific Boulevard,2
1701998113-3,Memorial West Park,4701 Dunbar Street,6
1701998113-4,Charleson Park,999 Charleson Street,5
1701998113-5,Granville Loop Park,1435 W 5th Avenue,2
1701998113-6,Granville Park,3001 Fir Street,4
1701998113-7,Sutcliffe Park,1318 Cartwright Street,2
1701998113-8,Garden Park,1851 Garden Drive,2
1701998113-9,McSpadden Park,2125 Victoria Drive,2
1701998113-10,Pandora Park,2325 Franklin Street,2
1701998113-11,Burrard View Park,650 North Penticton Street,2
1701998113-12,Hastings Community Park,3000 E Pender Street,2
1701998113-13,Kaslo Park,2851 E 7th Avenue,2
1701998113-14,Rupert Park,1600 Rupert Street,4
1701998113-15,Brewers Park,4175 Victoria Drive,2
1701998113-16,Clark Park,1500 E 14th Avenue,4
1701998113-17,Grays Park,4850 St. Catherines Street,2
1701998113-18,John Hendry (Trout Lake) Park,3300 Victoria Drive,3
1701998113-19,Elm Park,5800 Elm Street,2
1701998113-20,Captain Cook Park,3398 E 54th Avenue,2
1701998113-21,Champlain Heights Park,3351 Maquinna Drive,4
1701998113-22,Riverfront Park,2750 E Kent Ave S,2
1701998113-23,Almond Park,3600 W 12th Avenue,2
1701998113-24,Kitsilano Beach Park,1499 Arbutus Street,10
1701998113-25,McBride Park,3350 W 4th Avenue,4
1701998113-26,Tatlow Park,2845 W 3rd Avenue,3
1701998113-27,Eburne Park,950 W 71st Avenue,4
1701998113-28,Oak Park,900 W 59th Avenue,2
1701998113-29,Guelph Park,2390 Brunswick Street,2
1701998113-30,Robson Park,599 Kingsway,3
1701998113-31,Melbourne Park,3530 Vanness Avenue,2
1701998113-32,Slocan Park,2750 E 29th Avenue,4
1701998113-33,Queen Elizabeth Park,4600 Cambie Street,17
1701998113-34,Heather Park,702 W 18th Avenue,4
1701998113-35,Langara Golf Course,6706 Alberta Street,4
1701998113-36,Strathcona Park,857 Malkin Avenue,4
1701998113-37,MacDonald Park,300 E 44th Avenue,3
1701998113-38,Memorial South Park,5955 Ross Street,4
1701998113-39,Moberly Park,7646 Prince Albert Street,4
1701998113-40,Humm Park,7250 Humm Street,2
1701998113-41,Stanley Park,2000 W Georgia Street,21
1701998113-42,Jericho Beach Park,3941 Point Grey Road,4
1701998113-43,West Point Grey Park,2250 Trimble Street,4
